Team,KickoffYRt,FGPCT,PuntYRt,ATOPPCT,nonrelevant,notrelevant,W
Arizona Cardinals,21.2,88.6,7,45.5,27.3,0.455,5
Atlanta Falcons,22.8,80,7.1,51.5,30.9,0.515,7
Baltimore Ravens,18.3,96.6,8.2,57.66666667,34.6,0.576666667,14
Buffalo Bills,25.1,78.6,7.6,50,30,0.5,10
Carolina Panthers,21.8,78.1,6.8,48.16666667,28.9,0.481666667,5
Chicago Bears,26.6,82.1,9.2,50.33333333,30.2,0.503333333,8
Cincinnati Bengals,26,87.1,5.7,49.16666667,29.5,0.491666667,2
Cleveland Browns,21.8,86.2,7.1,49.5,29.7,0.495,6
Dallas Cowboys,16.3,75,5.7,49.16666667,29.5,0.491666667,8
Denver Broncos,25.4,85.3,7.7,48.83333333,29.3,0.488333333,7
Detroit Lions,24.5,83.9,7.9,48.16666667,28.9,0.481666667,3
Green Bay Packers,20.8,91.7,4.9,52.16666667,31.3,0.521666667,13
Houston Texans,22,80,9.7,50.33333333,30.2,0.503333333,10
Indianapolis Colts,22.8,71,17.4,50.16666667,30.1,0.501666667,7
Jacksonville Jaguars,24.2,97.1,5,50.83333333,30.5,0.508333333,6
Kansas City Chiefs,25.1,89.5,6.9,49.16666667,29.5,0.491666667,12
Las Vegas Raiders,23.2,73.1,7,51.66666667,31,0.516666667,7
Los Angeles Chargers,20.7,76.5,5.4,50.83333333,30.5,0.508333333,5
Los Angeles Rams,22.4,72.7,6.3,48.33333333,29,0.483333333,9
Miami Dolphins,22.1,76.7,6.6,51.66666667,31,0.516666667,5
Minnesota Vikings,22.4,93.1,6.8,47.5,28.5,0.475,10
New England Patriots,22.1,79.4,8,52.5,31.5,0.525,12
New Orleans Saints,24.1,88.9,9.2,53.33333333,32,0.533333333,13
New York Giants,23.5,70.6,9.8,47,28.2,0.47,4
New York Jets,21.8,67.9,11.4,47.5,28.5,0.475,7
Philadelphia Eagles,22.5,84.6,7,54.66666667,32.8,0.546666667,9
Pittsburgh Steelers,18.1,93.5,5.9,48,28.8,0.48,8
San Francisco 49ers,20.5,76.9,9.8,52.5,31.5,0.525,13
Seattle Seahawks,19.6,82.1,8,50.83333333,30.5,0.508333333,11
Tampa Bay Buccaneers,19.8,77.1,6.1,51,30.6,0.51,7
Tennessee Titans,21.3,44.4,7.7,47.5,28.5,0.475,9
Washington Football Team,25.2,83.3,4.7,45.16666667,27.1,0.451666667,3
