Team,KickoffYRt,FGPCT,PuntYRt,ATOPPCT,nonrelevant,notrelevant,W
Arizona Cardinals,21.9,76.7,5.4,48,28.8,0.48,8
Atlanta Falcons,20.5,95,8.9,50.83333333,30.5,0.508333333,4
Baltimore Ravens,26.7,89.7,9,52.83333333,31.7,0.528333333,11
Buffalo Bills,27.6,82.4,11.9,51.5,30.9,0.515,13
Carolina Panthers,25.3,80.6,5.9,51.66666667,31,0.516666667,5
Chicago Bears,24.4,93.8,7.6,49.33333333,29.6,0.493333333,8
Cincinnati Bengals,24.6,79.4,10.1,51.33333333,30.8,0.513333333,4
Cleveland Browns,22.1,79.2,4.8,51.33333333,30.8,0.513333333,11
Dallas Cowboys,26.1,82.9,9.1,47.16666667,28.3,0.471666667,6
Denver Broncos,20.6,80,13.4,48.16666667,28.9,0.481666667,5
Detroit Lions,24.9,75,12.8,46.5,27.9,0.465,5
Green Bay Packers,18.9,100,4.8,54.83333333,32.9,0.548333333,13
Houston Texans,20.1,87.1,7.9,45.5,27.3,0.455,4
Indianapolis Colts,25.8,86.5,10.1,52,31.2,0.52,11
Jacksonville Jaguars,20.5,72,11.4,45.83333333,27.5,0.458333333,1
Kansas City Chiefs,25.8,92.6,5.8,50.16666667,30.1,0.501666667,14
Las Vegas Raiders,19,94.3,11.5,51,30.6,0.51,8
Los Angeles Chargers,22,72.7,5.6,52.66666667,31.6,0.526666667,7
Los Angeles Rams,20.6,80,6.9,52.66666667,31.6,0.526666667,10
Miami Dolphins,17.9,92.3,11.1,52,31.2,0.52,10
Minnesota Vikings,21.9,68.2,4.3,49.16666667,29.5,0.491666667,7
New England Patriots,23.1,92.6,15.5,48.16666667,28.9,0.481666667,7
New Orleans Saints,25.4,82.1,10.2,53.16666667,31.9,0.531666667,12
New York Giants,21.9,96.9,11.4,47.66666667,28.6,0.476666667,6
New York Jets,19.8,75,8.6,46.5,27.9,0.465,2
Philadelphia Eagles,20.9,73.7,8.8,48.16666667,28.9,0.481666667,4
Pittsburgh Steelers,23.1,95.8,9.6,51.5,30.9,0.515,12
San Francisco 49ers,19.3,84.6,9,38.66666667,23.2,0.386666667,6
Seattle Seahawks,22.5,100,8.6,49.16666667,29.5,0.491666667,12
Tampa Bay Buccaneers,21.8,90.3,5.9,48.5,29.1,0.485,11
Tennessee Titans,20.2,71.4,9,49.16666667,29.5,0.491666667,11
Washington Football Team,20.8,79.4,5.7,49.83333333,29.9,0.498333333,7
